_id,name,images
1013,"Intel NUC 8 Mainstream Kit (NUC8i7BEH) - Core i7, Tall, Add't Components Needed","""[\""https://s3.amazonaws.com/fec.amazin/1013_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1013_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1013_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1013_4.jpg\""]"""
1014,"Intel NUC NUC7i5BNH Mini PC/HTPC, Intel Dual-Core i5-7260U Upto 3.4GHz, 8GB DDR4, 256GB SSD, WiFi, Bluetooth, Thunderbolt 3, 4k Support, Dual Monitor Capable, Windows 10 Pro (8GB Ram + 256GB SSD)","""[\""https://s3.amazonaws.com/fec.amazin/1014_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1014_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1014_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1014_4.jpg\""]"""
1015,HP Omen 870-213w Desktop PC (256GB+ 1TB Hard Drive i7-7700) Windows 10,"""[\""https://s3.amazonaws.com/fec.amazin/1015_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1015_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1015_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1015_4.jpg\""]"""
1016,"Microsoft Surface Studio 2 (Intel Core i7, 32GB RAM, 2TB)","""[\""https://s3.amazonaws.com/fec.amazin/1016_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1016_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1016_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1016_4.jpg\""]"""
1017,"Dell 99K5T OptiPlex 3050 Small Form Factor Desktop Computer, Intel Core i5-7500, 8GB DDR4, 256GB Solid State Drive, Windows 10 Pro","""[\""https://s3.amazonaws.com/fec.amazin/1017_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1017_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1017_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1017_4.jpg\""]"""
1018,"CYBERPOWERPC Gamer Ultra GUA3120CPG Desktop Gaming PC (AMD FX-6300 3.5GHz, 8GB DDR3, AMD R7 240 2GB, 1TB HDD, 802.11 AC WiFi Adapter, Gaming Keyboard/Mouse & Win 10 Home) Black","""[\""https://s3.amazonaws.com/fec.amazin/1018_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1018_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1018_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1018_4.jpg\""]"""
1019,"SkyTech Azure - Gaming Computer PC Desktop - Ryzen 5 1600 6-core 3.2 Ghz, NVIDIA GeForce RTX 2060 6GB, 500G NVMe PCI e SSD, 16GB DDR4, AC WiFi, Windows 10 Home 64-bit (16GB Version)","""[\""https://s3.amazonaws.com/fec.amazin/1019_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1019_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1019_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1019_4.jpg\""]"""
1020,"Vision Computers- i9 CAD Station - Intel i9-9900K 3.6GHz CPU, 16GB RAM, 480GB Solid State Hard Drive, Nvidia Quadro RTX6000, Windows 10 Pro 64bit, 3yr Warranty","""[\""https://s3.amazonaws.com/fec.amazin/1020_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1020_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1020_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1020_4.jpg\""]"""
1021,"CORSAIR ONE PRO i180 High-Performance PC,i9-9920X,RTX 2080 Ti,960GB M.2 SSD,2TB HDD,32GB DDR4,Windows 10 Pro","""[\""https://s3.amazonaws.com/fec.amazin/1021_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1021_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1021_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1021_4.jpg\""]"""
1022,"Acer Predator Orion 9000 Desktop, Intel i7-8700K 6-Core (Up to 4.7 GHz), NVIDIA Geforce RTX 2080 Ti 11GB, 32GB DDR4 RAM, 256GB PCIe NVMe SSD, 2TB HDD, Ice Tunnel Cooling, Win 10, PO9-600-8700K2080Ti","""[\""https://s3.amazonaws.com/fec.amazin/1022_1.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1022_2.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1022_3.jpg\"",\""https://s3.amazonaws.com/fec.amazin/1022_4.jpg\""]"""
